Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
060-01	8.05	0.89	0.7	2.35	12.15	1.16	9.91	2.08	18.75
060-02	7.81	0.86	0.67	2.26	12.02	1.25	10.92	2.3	19.37
060-03	11.04	1.36	1.31	4.33	11.84	0.98	7.36	0.45	15.28
060-04	7.19	0.81	0.76	2.51	14.89	1.75	13.91	1.95	14.27
060-05	8.49	0.96	0.76	2.55	13.27	1.25	10.26	2.04	16.28
060-06	8.46	0.95	0.74	2.5	13.06	1.33	10.97	2	16.8
060-07	9.81	1.12	0.77	2.63	12.24	1.02	8.69	2.08	16.89
061-01	7.7	0.97	1.39	4.44	15.66	1.76	12.75	0.34	12.15
061-02	6.61	0.73	0.65	2.17	13.27	1.81	14.92	2.14	15.34
061-03	7.83	0.89	0.8	2.65	15.06	1.59	12.58	2.13	13.16
062-01	7.75	0.85	0.68	2.28	12.34	1.33	11.54	2.28	19.9
062-10	10.09	1.22	1.19	3.92	9.47	0.73	6.16	0.58	19.78
062-11	10.85	1.3	1.16	3.86	8.96	0.63	5.49	0.6	20.35
062-12	9.81	1.17	1.18	3.89	9.53	0.67	5.76	0.63	21.22
062-02	9.43	1.19	1.53	4.92	15.55	1.37	9.65	0.38	13.23
062-03	11.35	1.37	1.18	3.93	8.61	0.59	5.08	0.57	19.24
062-04	7.08	0.79	0.78	2.57	15.18	1.59	12.61	1.99	15.25
062-05	9.94	1.23	1.35	4.42	13.09	1.12	8.24	0.44	14.93
062-06	8.25	0.91	0.71	2.39	12.63	1.32	11.35	2.39	18.92
062-07	9.18	1.03	0.67	2.32	10.51	0.94	8.38	1.96	18.32
062-08	9.01	1.01	0.75	2.55	12.47	1.07	8.99	1.95	17.63
062-09	8.86	1	0.74	2.51	12.58	1.2	10.07	2.09	17.3
063-01	11.07	1.45	1.83	5.93	17.21	1.18	7.27	0.23	7.98
063-02	10.5	1.34	1.65	5.35	16.1	1.27	8.51	0.31	10.77
063-03	9.46	1.25	1.79	5.74	18.97	1.65	10.72	0.2	7.14
063-04	11.27	1.45	1.75	5.68	17.19	1.25	8.02	0.27	9.36
063-05	10.45	1.31	1.49	4.86	15	1.2	8.25	0.35	12.04
064-01	10.01	1.32	1.87	5.99	18.66	1.38	9.41	1.36	7.98
064-02	9.49	1.24	1.79	5.72	19.06	1.42	9.83	1.48	9.03
064-03	10.35	1.35	1.79	5.77	16.58	1.18	8.31	1.45	9.46
064-04	9.18	1.09	0.85	2.85	14.13	1.22	8.67	1.18	6.88
064-05	10.15	1.33	1.76	5.66	17.22	1.49	10.56	1.26	7.7
064-06	9.02	1.19	1.6	5.14	16.75	1.71	12.28	1.13	6.73
065-01	11.46	1.47	1.74	5.64	16.38	1.13	7.97	1.47	9.89
065-02	10.94	1.39	1.62	5.28	16.08	1.26	9.23	1.57	10.88
066-01	10.08	1.24	1.26	4.15	12.48	1.25	9.38	0.42	14.39
066-02	9.53	1.14	1.11	3.66	11.48	1.2	9.47	0.53	18.13
066-03	10.89	1.35	1.36	4.48	12.2	1.18	8.85	0.42	14.48
066-04	10.51	1.29	1.29	4.25	12.4	1.2	9.05	0.46	15.76
067-01	11.8	1.57	2.04	6.58	18.47	1.6	10.4	0.15	5.56
067-02	10.79	1.42	1.83	5.91	16.63	1.38	9.13	0.24	8.4
067-03	10.17	1.31	1.63	5.27	15.85	1.45	9.85	0.25	8.93
067-04	6.61	0.75	0.82	2.67	16.7	1.83	14.21	2.19	12.49
067-05	6.58	0.73	0.69	2.29	13.67	1.48	12.44	2.66	15.76
067-06	6.39	0.7	0.7	2.29	14.01	1.58	13.13	2.6	15.52
067-07	5.8	0.62	0.62	2.03	12.74	1.47	12.86	2.93	17.89
067-08	5.08	0.53	0.58	1.88	12.4	1.48	13.07	2.99	18.21
067-09	5.62	0.61	0.66	2.15	13.8	1.62	13.54	2.61	15.8
068-01	6.7	0.75	0.71	2.36	13.9	1.5	12.15	2.2	14.11
068-02	6.9	0.77	0.7	2.31	13.65	1.55	12.96	2.6	14.97
068-03	5.76	0.63	0.6	1.99	12.86	1.77	15.1	2.82	15.32
068-04	7.11	0.78	0.64	2.13	11.9	1.3	11.55	2.77	17.86
068-05	7.6	0.96	1.3	4.19	14.32	1.59	11.45	0.31	10.87
068-06	7.54	0.85	0.67	2.26	12.3	1.36	11.39	2.19	15
069-01	11.24	1.48	1.93	6.23	18.84	1.55	9.96	0.18	6.44
069-10	6.99	0.81	0.87	2.83	17.62	1.95	14.88	2.19	10.63
069-11	8.83	1.02	0.86	2.88	15.43	1.45	11.21	1.97	13.07
069-12	8.37	1.09	1.58	5.04	18.39	1.94	13.29	0.22	7.94
069-13	8.08	0.93	0.82	2.73	15.09	1.49	11.51	1.83	12.98
069-14	12.3	1.55	1.43	4.75	12.1	0.85	5.74	0.28	9.73
069-02	12.49	1.67	2.14	6.9	19.66	1.77	11.41	0.11	4.23
069-03	11.99	1.61	2.15	6.93	19.63	1.59	10.03	0.14	5.25
069-04	8.82	1.19	1.86	5.93	20.81	2.14	14.27	0.13	5.16
069-05	7.02	0.91	1.45	4.61	18.69	2.21	15.42	0.21	7.68
069-06	11.74	1.54	1.85	5.99	16.39	1.24	7.9	0.19	6.72
069-07	11.12	1.42	1.53	5	13.77	1.14	7.65	0.24	8.33
069-08	7	0.8	0.8	2.62	16.01	1.89	14.69	2.06	11.69
069-09	7.1	0.8	0.76	2.51	14.86	1.69	13.37	2.07	13.54
007-01	10.98	1.37	1.48	4.85	13.77	1.16	8.3	0.4	13.63
007-02	8.74	1.01	0.83	2.78	14.76	1.4	11.05	2.15	12.89
007-03	12.21	1.53	1.49	4.92	13.7	1.29	9.23	0.34	11.64
070-01	7.49	0.83	0.72	2.39	13.33	1.4	11.65	2.28	16.52
070-02	8.06	0.9	0.69	2.34	12.09	1.18	10.05	2.07	17.75
071-01	8.58	1.1	1.5	4.82	15.52	1.52	10.7	0.31	11.02
071-02	8.09	0.93	0.78	2.59	14.31	1.49	12.11	2.43	13.12
071-03	8.29	1.04	1.4	4.51	14.33	1.38	9.98	0.39	13.47
071-04	8.3	0.94	0.73	2.46	12.86	1.26	10.52	2.3	15.19
071-05	9.39	1.19	1.48	4.8	14.12	1.25	8.88	0.35	12.14
072-01	8.73	1.12	1.44	4.64	15.85	2.06	15.02	0.28	10.26
072-02	9.83	1.24	1.42	4.63	14.36	1.64	11.97	0.33	11.52
072-03	8.58	1.06	1.19	3.87	13.15	1.87	14.29	0.38	13.57
072-04	9.08	1.13	1.25	4.08	14.17	2.07	15.53	0.31	11.27
072-05	7.98	1	1.28	4.12	14.7	1.94	14.38	0.34	11.93
073-01	8.02	0.92	0.83	2.74	15.52	1.61	12.61	2.09	12.68
073-02	8.37	0.97	0.75	2.52	13.62	1.6	12.86	2.06	12.19
073-03	8.73	1	0.83	2.77	14.73	1.39	10.99	2.05	13.64
073-04	10.59	1.37	1.68	5.45	15.99	1.39	9.46	0.28	9.82
074-01	7.23	0.84	0.88	2.88	17.54	1.84	13.92	2.11	10.43
074-02	8.19	1.05	1.49	4.78	17.32	1.81	12.56	0.26	9.18
074-03	8.02	0.92	0.77	2.59	14.44	1.58	12.73	2.33	12.55
074-04	7.72	0.98	1.29	4.15	14.75	1.6	11.36	0.27	9.56
074-05	7.47	0.86	0.76	2.53	14.66	1.73	13.51	1.91	10.63
074-06	7.14	0.82	0.73	2.42	14.31	1.79	14.11	1.93	10.94
075-01	6.46	0.91	2.05	6.41	26.88	2.72	17.61	0.07	3.09
075-10	11.7	1.61	2.47	7.87	22.44	1.62	9.62	0.11	4.09
075-11	8.66	1.23	2.43	7.65	26.35	2.25	13.94	0.07	3.04
075-12	5.88	0.82	1.84	5.77	25.22	2.91	19.52	0.08	3.56
075-13	7.54	1.05	2.02	6.37	24.14	2.41	15.68	0.1	4.04
075-14	3.13	0.43	1.14	3.56	21.66	3.85	28.01	0.07	3.82
075-15	14.86	2.03	2.63	8.49	19.99	1.24	7.03	0.1	3.6
075-16	14.57	1.98	2.52	8.15	19.36	1.35	8.03	0.09	3.37
075-17	15.62	2.1	2.43	7.92	17.68	1.14	6.66	0.09	3.4
075-18	12.47	1.74	2.73	8.71	24.18	1.57	8.78	0.08	3.02
075-02	6.25	0.88	1.97	6.16	26.13	2.89	19.15	0.07	3.17
075-03	10.27	1.42	2.34	7.44	24.1	1.93	11.76	0.09	3.48
075-04	3.58	0.49	1.24	3.85	22.27	3.72	26.8	0.07	3.74
075-05	11.85	1.66	2.8	8.9	25.92	1.65	9.1	0.06	2.57
075-06	14.58	2.02	2.87	9.19	22.47	1.35	7.36	0.07	2.84
075-07	10.83	1.52	2.68	8.5	26.58	1.82	10.32	0.07	2.83
075-08	10.9	1.51	2.42	7.7	23.03	1.8	10.95	0.1	3.96
075-09	12.35	1.69	2.48	7.94	22.26	1.54	9.02	0.11	4.05
076-01	11.06	1.46	1.88	6.07	17.69	1.58	10.44	0.18	6.63
076-10	8.35	0.94	0.74	2.5	13.47	1.47	12.23	2.18	17.05
076-02	8.65	1.09	1.48	4.75	16.78	1.71	12.09	0.35	12.12
076-03	14.41	1.84	1.79	5.91	13.38	0.85	5.64	0.31	10.77
076-04	12.24	1.55	1.65	5.4	13.06	0.9	6.3	0.39	13.46
076-05	10.3	1.28	1.46	4.75	13.84	1.18	8.54	0.44	15.14
076-06	8.95	1.01	0.72	2.45	12.27	1.33	11.17	1.99	17.22
076-07	11.14	1.4	1.48	4.86	15.05	1.42	9.94	0.29	10.34
076-08	14.74	1.83	1.39	4.7	10.65	0.77	5.5	0.33	11.36
076-09	10.21	1.17	0.78	2.69	12.75	1.28	10.8	2.22	16.28
077-01	9.02	1.05	0.83	2.8	14.6	1.42	10.94	1.92	10.6
077-10	12.03	1.55	1.73	5.63	16.33	1.21	7.75	0.24	8.36
077-11	12.43	1.58	1.68	5.49	15.25	1.03	6.56	0.28	9.55
077-02	8.14	0.94	0.82	2.73	15.36	1.65	12.87	2	12.03
077-03	9.97	1.15	0.81	2.75	13.28	1.25	10.25	2.25	14.36
077-04	8.34	0.93	0.67	2.27	11.65	1.28	11.17	2.36	17.9
077-05	8.85	1.01	0.79	2.67	13.94	1.36	11.14	2.31	14.66
077-06	9.9	1.14	0.81	2.74	13.15	1.16	9.6	2.19	14.98
077-07	10.43	1.21	0.87	2.95	14.18	1.26	10.04	2.05	13.5
077-08	10.23	1.31	1.66	5.35	17.76	1.46	9.57	0.26	9.1
077-09	9.18	1.07	0.87	2.93	15.35	1.34	10.53	2.42	11.73
078-01	7.51	1.02	1.81	5.72	20.76	2.36	16.12	0.15	5.71
078-10	8.18	1.08	1.69	5.39	19.23	2.03	13.93	0.23	8.46
078-11	10.47	1.45	2.2	7.02	17.09	1.41	9.24	0.18	6.59
078-12	8.84	1.16	1.7	5.43	19.25	1.89	12.68	0.2	7.31
078-02	7.2	0.96	1.74	5.51	22.02	2.29	15.37	0.18	6.68
078-03	5.83	0.78	1.49	4.69	20.64	2.7	18.95	0.15	5.89
078-04	7.12	0.95	1.75	5.52	22.43	2.29	15.22	0.15	5.86
078-05	7.54	1	1.63	5.18	20.71	2.22	14.98	0.16	5.96
078-06	7.37	0.97	1.55	4.92	19.92	2.19	14.84	0.16	6.21
078-07	9.14	1.19	1.7	5.44	18.12	1.63	10.9	0.24	8.7
078-08	11.93	1.5	1.49	4.91	13.34	1.07	7.44	0.32	11.07
078-09	9.35	1.18	1.46	4.71	15.52	1.55	11.01	0.33	11.65
079-01	10.38	1.37	1.91	6.12	18.82	1.41	8.85	0.22	7.72
079-02	10.11	1.3	1.65	5.33	16.21	1.34	9.05	0.31	10.88
079-03	7.76	0.89	0.86	2.83	16.38	1.65	12.62	2.09	11.62
008-01	7.78	0.86	0.68	2.29	12.21	1.29	10.98	2.13	17.44
008-02	9.93	1.21	1.24	4.06	11.15	0.99	7.59	0.47	16.12
008-03	7.89	0.88	0.66	2.24	11.7	1.27	10.86	2.04	17.49
080-01	10.23	1.26	1.35	4.41	13.76	1.05	7.48	0.43	14.78
080-02	10.05	1.28	1.62	5.22	17.79	1.4	9.17	0.29	10.22
080-03	8.65	0.96	0.73	2.46	12.64	1.29	10.93	2.1	18.56
080-04	8.28	0.92	0.76	2.56	13.61	1.26	10.54	2.16	18.49
080-05	8.55	0.94	0.69	2.33	11.59	1.14	9.93	1.98	19.86
081-01	9.44	1.2	1.52	4.91	15.28	1.45	10.26	0.35	12.12
081-02	11.5	1.47	1.68	5.46	14.72	1.21	8.43	0.35	12.07
081-03	9.99	1.25	1.46	4.75	14.57	1.39	10.01	0.38	13.2
082-01	9.8	1.23	1.48	4.79	14.52	1.41	10.18	0.39	13.46
082-02	9.54	1.17	1.34	4.36	13.26	1.24	9.27	0.47	15.98
083-01	7.77	0.95	1.07	3.5	12.57	1.61	12.12	0.37	12.94
083-02	8.17	0.92	0.68	2.3	11.99	1.38	11.51	1.91	16.68
083-03	7.35	0.82	0.68	2.28	13.18	1.75	14.22	1.8	15.49
083-04	6.47	0.7	0.57	1.9	11.51	1.82	15.29	1.81	17.21
083-05	5.97	0.65	0.58	1.93	12.22	1.88	15.62	1.83	17.05
083-06	8.21	0.91	0.67	2.27	11.88	1.41	11.99	2.02	18.33
083-07	7.7	0.87	0.67	2.25	12.44	1.65	13.45	1.68	15.39
083-08	8.19	0.91	0.66	2.25	11.76	1.44	12.18	1.94	18.1
084-01	11.85	1.47	1.39	4.6	12.73	1.15	8.35	0.36	12.43
084-02	8.86	1	0.74	2.5	12.85	1.42	11.71	1.88	16.78
084-03	8.94	1	0.67	2.29	11.13	1.27	11.05	1.99	19.43
084-04	8.47	0.94	0.68	2.3	11.75	1.35	11.54	2.01	18.64
084-05	9.49	1.16	1.25	4.08	13.44	1.42	10.61	0.44	15.37
085-01	7.85	0.91	0.94	3.08	18.22	1.8	13.39	2.03	10.79
085-02	8.36	1.06	1.52	4.87	17.92	1.76	12.17	0.3	10.72
085-03	6.75	0.77	0.8	2.63	16.45	1.98	15.34	2.02	11.76
085-04	7.13	0.83	0.94	3.05	19.17	2.1	15.71	2.14	9.61
085-05	7.65	0.88	0.84	2.77	16.21	1.73	13.34	2.04	12.37
086-01	10.88	1.42	1.82	5.87	17.12	1.3	8.44	0.26	9.12
086-02	10.99	1.45	1.92	6.2	18.31	1.46	9.42	0.21	7.59
086-03	9.24	1.16	1.42	4.61	14.63	1.4	9.94	0.35	12.31
086-04	8.84	1.09	1.26	4.09	12.96	1.27	9.4	0.4	13.89
087-01	11.25	1.46	1.83	5.92	16.87	1.21	7.79	0.27	9.53
087-02	10.88	1.4	1.7	5.5	16.67	1.34	8.91	0.29	10.18
087-03	10.49	1.36	1.77	5.71	16.84	1.25	8.16	0.29	9.98
088-01	8.22	0.93	0.76	2.54	13.48	1.33	10.79	2.1	14.66
088-02	7.91	0.88	0.68	2.3	11.96	1.15	9.92	2.2	17.75
088-03	8.13	0.92	0.74	2.49	13.43	1.38	11.5	2.48	14.75
088-04	7.92	0.88	0.7	2.36	12.68	1.3	11.21	2.58	16.78
089-01	7.82	0.89	0.76	2.53	14.04	1.47	11.82	2.2	13.82
089-02	8.15	0.92	0.71	2.39	12.56	1.32	11.06	2.25	15.78
089-03	7.8	0.87	0.65	2.21	11.67	1.31	11.24	2.21	16.5
009-01	13.62	1.75	1.83	5.99	14.56	0.99	7.27	1.31	11.25
009-02	12.69	1.61	1.65	5.42	13.56	1.09	7.72	0.37	12.63
090-01	8.63	1.06	1.26	4.09	12.73	1.26	9.4	0.43	14.66
090-02	9.65	1.21	1.39	4.51	13.3	1.22	8.84	0.38	13.2
091-01	12.92	1.65	1.65	5.42	14.64	1	6.29	0.23	7.95
091-10	12.69	1.61	1.61	5.3	14.93	1.15	7.56	0.25	8.83
091-02	9.21	1.06	0.82	2.78	14.47	1.41	11.47	2.45	13.88
091-03	10.3	1.31	1.61	5.23	16.35	1.44	9.92	0.32	11.08
091-04	8.92	1.04	0.98	3.24	18.16	1.62	12.06	2.26	10.22
091-05	9.63	1.29	2.01	6.41	22.49	1.95	12.29	0.13	4.94
091-06	11.02	1.45	1.92	6.19	18.85	1.46	9.19	0.2	7.15
091-07	10.9	1.4	1.63	5.29	15.6	1.29	8.61	0.26	9.11
091-08	9.55	1.14	0.89	2.99	15.94	1.2	11.16	5.64	8.36
091-09	10.25	1.21	0.93	3.14	15.95	1.4	10.86	2.53	9.63
092-01	16.5	2.11	1.83	6.12	14.17	0.91	5.58	0.17	5.8
092-10	8.58	1.17	2.05	6.49	23.06	2.01	12.65	0.11	4.15
092-11	13.55	1.8	2.24	7.25	20	1.39	8.26	0.14	5.01
092-12	9.45	1.26	1.94	6.19	21.13	1.88	12.07	0.15	5.71
092-13	8.9	1.2	1.97	6.25	22.77	2.09	13.41	0.12	4.56
092-02	9.38	1.26	1.97	6.29	22.4	2.1	13.53	0.11	4.41
092-03	7.1	0.96	1.77	5.59	22.85	2.37	15.65	0.12	4.72
092-04	12.55	1.64	1.92	6.22	19.19	1.56	9.81	0.15	5.48
092-05	9.36	1.24	1.82	5.83	21.32	2.26	15.13	0.12	4.78
092-06	5.34	0.71	1.35	4.27	21.31	3.26	23.32	0.11	4.86
092-07	6.11	0.82	1.61	5.06	22.81	2.7	18.37	0.12	4.94
092-08	7.42	1	1.83	5.77	23.2	2.48	16.5	0.11	4.56
092-09	4.9	0.66	1.43	4.49	22.13	2.96	20.56	0.08	3.64
093-01	15.55	2.02	1.89	6.27	14.08	0.83	4.83	0.13	4.62
093-10	13.47	1.73	1.63	5.4	13.45	1.04	6.82	0.2	7.07
093-11	14.86	1.87	1.55	5.18	12.94	0.84	5.33	0.23	7.78
093-12	10.77	1.37	1.47	4.8	13.98	1.28	8.94	0.28	9.7
093-02	16.51	2.12	1.75	5.85	11.9	0.63	3.64	0.15	5.02
093-03	11.9	1.54	1.81	5.87	17.61	1.32	8.38	0.22	7.68
093-04	16.29	2.07	1.63	5.5	11.79	0.72	4.58	0.2	7.03
093-05	14.51	1.83	1.49	5.01	12.36	0.82	5.29	0.22	7.59
093-06	16.2	2.11	1.96	6.5	13.91	0.83	4.88	0.14	5.06
093-07	17.44	2.29	2.22	7.32	14.96	0.81	4.51	0.13	4.47
093-08	11.25	1.45	1.65	5.37	15.95	1.4	9.41	0.24	8.44
093-09	14.99	1.96	1.99	6.54	14.87	1.01	6.3	0.16	5.73
094-01	9.22	1.21	1.71	5.49	19.56	2.02	13.55	0.16	6.02
094-10	16.43	2.13	2.06	6.8	16.11	1.01	5.99	0.16	5.52
094-11	14.23	1.86	2.05	6.7	17.21	1.11	6.54	0.16	5.5
094-02	14.6	1.89	1.87	6.17	15.66	1.11	6.99	0.18	6.42
094-03	11.39	1.35	0.92	3.14	14.57	1.24	9.73	2.47	9.44
094-04	9.78	1.25	1.6	5.17	18.02	1.69	11.37	0.24	8.44
094-05	9.85	1.28	1.67	5.37	18.63	1.77	11.68	0.16	6.04
094-06	9.94	1.34	2.03	6.47	21.97	1.99	12.72	0.11	4.46
094-07	11.19	1.46	1.83	5.91	18.1	1.41	8.87	0.18	6.59
094-08	9.27	1.23	1.82	5.82	20.03	1.94	12.85	0.17	6.35
094-09	13.96	1.82	1.94	6.34	15.08	1.07	6.76	0.19	6.68
095-01	10.22	1.28	1.49	4.83	15.27	1.43	10.1	0.35	12.24
095-10	12.47	1.61	1.82	5.94	16.51	1.13	7	0.23	7.88
095-02	10.3	1.31	1.59	5.16	16.2	1.44	9.82	0.29	10.3
095-03	10.18	1.3	1.6	5.18	16.71	1.44	9.71	0.28	9.75
095-04	9.75	1.26	1.65	5.33	17.48	1.53	10.15	0.23	8.11
095-05	14.52	1.86	1.74	5.75	14.18	0.95	6.02	0.22	7.53
095-06	9.89	1.28	1.62	5.24	17.46	1.64	10.97	0.2	7.24
095-07	9.78	1.25	1.48	4.81	15.77	1.65	11.48	0.22	8.07
095-08	13.41	1.71	1.56	5.16	12.54	1.02	6.82	0.2	6.97
095-09	11.29	1.42	1.43	4.71	12.93	1.07	7.53	0.33	11.24
971-01	4.92	0.65	0.91	2.93	8.48	0.5	2.98	0.29	3.09
971-02	5.4	0.7	0.88	2.85	8.42	0.6	3.88	0.36	3.82
971-03	5.77	0.76	1.02	3.29	9.53	0.61	3.78	0.36	3.46
971-04	5.05	0.69	1	3.2	7.83	0.59	3.93	0.32	3.21
972-01	6	0.79	0.9	2.94	7.62	0.63	4.3	0.38	3.1
972-02	5.54	0.73	0.89	2.87	8.11	0.65	4.37	0.35	3.09
972-03	6.06	0.83	1.08	3.48	7.7	0.56	3.66	0.32	2.47
972-04	5.93	0.77	0.8	2.61	6.91	0.53	3.58	0.36	2.54
973-01	4.88	0.61	0.57	1.89	5.09	0.46	3.48	0.36	5.39
973-02	3.78	0.47	0.45	1.48	4.04	0.34	2.52	0.28	4.16
974-01	7.85	1.01	1.23	3.99	11.58	1.07	7.5	0.25	8.56
974-02	9.77	1.22	0.98	3.28	8.26	0.78	5.65	0.2	7.1
974-03	8.34	1.04	1	3.29	7.88	0.77	5.96	0.32	11.04
974-04	8.68	1.18	1.58	5.1	8.84	0.99	7.58	0.26	9.11
974-05	7.2	0.9	0.96	3.15	8.14	0.76	5.68	0.28	9.51
974-06	7.84	0.98	1	3.28	9.07	0.81	5.93	0.29	9.86
974-07	8.64	1.09	1.06	3.5	10.04	0.89	6.23	0.22	7.54
975-01	11.35	1.45	1.23	4.11	8.28	0.56	3.81	0.19	6.61
979-01	2.88	0.35	0.4	1.31	5.6	0.82	6.17	0.14	5.14
985-01	2.65	0.33	0.67	2.09	8.25	0.9	6.57	0.21	7.28
985-02	2.15	0.25	0.4	1.28	5.95	1.2	9.51	0.22	7.98
986-01	2.7	0.64	2.7	8.29	17.2	1.65	10.94	0.09	3.55
987-01	2.23	0.25	0.39	1.23	5.64	1.12	9.03	0.26	9.2
987-02	1.88	0.21	0.34	1.07	5.39	0.91	7.24	0.24	8.29
987-03	2.21	0.25	0.36	1.16	5.25	1.04	8.3	0.22	7.86
988-01	3.3	0.42	0.68	2.18	7.06	1.28	10.1	0.25	8.84
988-02	2.87	0.41	0.92	2.88	5.75	0.98	8.06	0.28	9.8
099-01	4.19	0.56	1.05	3.3	13.6	0.96	5.44	0.05	1.86
099-10	3.7	0.48	0.87	2.76	12.64	1.59	11.04	0.09	3.73
099-11	4.61	0.62	1.21	3.8	16.75	1.55	10.02	0.36	3.01
099-02	3.78	0.5	0.74	2.37	9.65	0.84	5.31	0.15	1.78
099-03	4.03	0.57	1.34	4.19	18.08	1.23	6.78	0.03	1.34
099-04	6.01	0.82	1.47	4.65	16.72	1.34	8.18	0.07	2.83
099-05	4.2	0.55	0.88	2.8	10.63	0.96	6.17	0.07	2.8
099-06	4.81	0.64	1.09	3.45	14.48	1.47	9.69	0.08	3.27
099-07	4.02	0.58	1.52	4.73	19.77	1.17	6.01	0.04	1.66
099-08	1.64	0.22	0.46	1.44	6.95	0.77	5.16	0.03	1.4
099-09	6.03	0.78	0.94	3.04	10.95	0.99	6.29	0.04	1.57
