Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
78_8;73870;31.43;LR;Michel VIALAY;12275;16.62;52.86;elu
78_8;73870;31.43;REM;Khadija MOUDNIB;10946;14.82;47.14;non
78_5;73783;45.23;REM;Yaël BRAUN-PIVET;19684;26.68;58.99;elu
78_5;73783;45.23;LR;Jacques MYARD;13686;18.55;41.01;non
78_9;90984;36.15;MDM;Bruno MILLIENNE;17926;19.7;54.5;elu
78_9;90984;36.15;LR;Jean-Marie TETART;14968;16.45;45.5;non
78_10;88764;45.01;REM;Aurore BERGÉ;25701;28.95;64.33;elu
78_10;88764;45.01;DVD;Jean-Frédéric POISSON;14250;16.05;35.67;non
78_11;68016;37.99;REM;Nadia HAÏ;13684;20.12;52.96;elu
78_11;68016;37.99;LR;Jean-Michel FOURGOUS;12153;17.87;47.04;non
78_12;69005;42.18;REM;Florence GRANJUS;16484;23.89;56.63;elu
78_12;69005;42.18;LR;David DOUILLET;12625;18.3;43.37;non
79_1;90237;41.96;REM;Guillaume CHICHE;22878;25.35;60.42;elu
79_1;90237;41.96;FI;Nathalie SEGUIN;14987;16.61;39.58;non
80_2;75487;38.42;REM;Barbara POMPILI;17948;23.78;61.89;elu
80_2;75487;38.42;FI;Cédric MAISSE;11053;14.64;38.11;non
79_2;97375;45.04;SOC;Delphine BATHO;24970;25.64;56.94;elu
79_2;97375;45.04;REM;Christine HEINTZ;18886;19.4;43.06;non
79_3;84787;38.61;REM;Jean-Marie FIEVET;19434;22.92;59.37;elu
79_3;84787;38.61;LR;Véronique SCHAAF-GAUTHIER;13300;15.69;40.63;non
80_1;84286;40.97;FI;François RUFFIN;19329;22.93;55.97;elu
80_1;84286;40.97;REM;Nicolas DUMONT;15205;18.04;44.03;non
80_3;83768;41.07;LR;Emmanuel MAQUET;20688;24.7;60.14;elu
80_3;83768;41.07;REM;Bruno MARIAGE;13714;16.37;39.86;non
80_4;84026;42.01;REM;Jean-Claude LECLABART;20463;24.35;57.97;elu
80_4;84026;42.01;FN;Eric RICHERMOZ;14837;17.66;42.03;non
80_5;81450;49.03;UDI;Stéphane DEMILLY;21505;26.4;53.85;elu
80_5;81450;49.03;FN;Loïc GRIMAUX;8487;10.42;21.25;non
80_5;81450;49.03;FI;Olivier SPINELLI;4770;5.86;11.94;non
80_5;81450;49.03;COM;Valérie ROUSSEL;1937;2.38;4.85;non
80_5;81450;49.03;DIV;Thierry VINDEVOGEL;1441;1.77;3.61;non
80_5;81450;49.03;DLF;Olga SOROKINA-DOLLE;620;0.76;1.55;non
80_5;81450;49.03;EXD;Florence PERDU;472;0.58;1.18;non
80_5;81450;49.03;EXG;Régis LIÉVRARD;439;0.54;1.1;non
80_5;81450;49.03;DIV;David MAKOWSKI;263;0.32;0.66;non
81_1;83763;42.15;DVD;Philippe FOLLIOT;24959;29.8;70.69;elu
81_1;83763;42.15;FN;Frédéric CABROLIER;10350;12.36;29.31;non
81_2;106014;41.38;REM;Marie-Christine VERDIER-JOUCLAS;29014;27.37;66.14;elu
81_2;106014;41.38;FN;Doriane ALBARAO;14851;14.01;33.86;non
81_3;101428;43.3;REM;Jean TERLIER;22884;22.56;52.11;elu
81_3;101428;43.3;LR;Bernard CARAYON;21031;20.73;47.89;non
82_1;89978;40.51;SOC;Valérie RABAULT;20146;22.39;55.28;elu
82_1;89978;40.51;REM;Pierre MARDEGAN;16300;18.12;44.72;non
82_2;93329;41.39;RDG;Sylvia PINEL;21398;22.93;55.4;elu
82_2;93329;41.39;FN;Romain LOPEZ;17230;18.46;44.6;non
83_1;74842;34.98;LR;Geneviève LEVY;14448;19.3;55.18;elu
83_1;74842;34.98;REM;Elisabeth CHANTRIEUX;11734;15.68;44.82;non
83_2;90541;35.36;REM;Cécile MUSCHOTTI;18334;20.25;57.27;elu
83_2;90541;35.36;FN;Rachel ROUSSEL;13678;15.11;42.73;non
83_3;100775;37.8;LR;Jean-Louis MASSON;19570;19.42;51.38;elu
83_3;100775;37.8;REM;Alexandre ZAPOLSKY;18521;18.38;48.62;non
83_4;106143;37.0;REM;Sereine MAUBORGNE;21460;20.22;54.65;elu
83_4;106143;37.0;FN;Philippe LOTTIAUX;17808;16.78;45.35;non
83_5;96236;39.16;MDM;Philippe MICHEL-KLEISBAUER;20061;20.85;53.24;elu
83_5;96236;39.16;FN;Gilles LONGO;17622;18.31;46.76;non
83_6;118392;37.09;REM;Valérie GOMEZ-BASSAC;24541;20.73;55.89;elu
83_6;118392;37.09;FN;Jérôme RIVIERE;19371;16.36;44.11;non
83_7;103503;35.56;REM;Emilie GUEREL;20967;20.26;56.97;elu
83_7;103503;35.56;FN;Frédéric BOCCALETTI;15838;15.3;43.03;non
83_8;104360;40.2;REM;Fabien MATRAS;24209;23.2;57.71;elu
83_8;104360;40.2;FN;Pierre JUGY;17743;17.0;42.29;non
84_1;73001;35.9;REM;Jean-François CESARINI;15227;20.86;58.09;elu
84_1;73001;35.9;FN;Anne-Sophie RIGAULT;10984;15.05;41.91;non
84_2;83311;37.68;LR;Jean-Claude BOUCHET;16762;20.12;53.39;elu
84_2;83311;37.68;REM;Sonia STRAPELIAS;14633;17.56;46.61;non
84_3;75602;41.29;REM;Brune POIRSON;15819;20.92;50.67;elu
84_3;75602;41.29;FN;Hervé DE LÉPINAU;15398;20.37;49.33;non
84_4;88777;42.56;EXD;Jacques BOMPARD;19030;21.44;50.37;elu
84_4;88777;42.56;REM;Carole NORMANI;18754;21.12;49.63;non
84_5;81871;38.45;LR;Julien AUBERT;16019;19.57;50.89;elu
84_5;81871;38.45;REM;Jean VIARD;15460;18.88;49.11;non
85_1;109666;40.28;MDM;Philippe LATOMBE;24156;22.03;54.69;elu
85_1;109666;40.28;LR;Alain LEBOEUF;20015;18.25;45.31;non
85_5;81455;41.41;REM;Pierre HENRIET;17999;22.1;53.36;elu
85_5;81455;41.41;SOC;Hugues FOURAGE;15732;19.31;46.64;non
85_2;103480;38.52;MDM;Patricia GALLERNEAU;23748;22.95;59.58;elu
85_2;103480;38.52;LR;Béatrice BELLAMY;16113;15.57;40.42;non
85_3;122015;40.79;REM;Stéphane BUCHOU;29940;24.54;60.16;elu
85_3;122015;40.79;LR;Florence PINEAU;19825;16.25;39.84;non
85_4;97892;39.44;REM;Martine LEGUILLE-BALLOY;24129;24.65;62.5;elu
85_4;97892;39.44;UDI;Wilfrid MONTASSIER;14475;14.79;37.5;non
86_1;79559;40.34;REM;Jacques SAVATIER;19135;24.05;59.62;elu
86_1;79559;40.34;FI;Céline CUVILLIER;12961;16.29;40.38;non
86_2;77522;37.0;REM;Sacha HOULIÉ;19423;25.05;67.71;elu
86_2;77522;37.0;LR;Olivier CHARTIER;9261;11.95;32.29;non
86_4;75658;37.35;MDM;Nicolas TURQUOIS;14508;19.18;51.34;elu
86_4;75658;37.35;UDI;Anne-Florence BOURAT;13752;18.18;48.66;non
87_1;84743;42.37;REM;Sophie BEAUDOUIN-HUBIERE;19965;23.56;55.6;elu
87_1;84743;42.37;FI;Danielle SOURY;15943;18.81;44.4;non
87_2;97461;45.5;REM;Jean-Baptiste DJEBBARI-BONNET;24209;24.84;54.59;elu
87_2;97461;45.5;COM;Pierre ALLARD;20139;20.66;45.41;non
88_1;77078;39.91;LR;Stéphane VIRY;16340;21.2;53.12;elu
88_1;77078;39.91;REM;Alisson HAMELIN;14423;18.71;46.88;non
88_2;73261;38.19;LR;Gérard CHERPION;15501;21.16;55.41;elu
88_2;73261;38.19;REM;Christine URBES;12474;17.03;44.59;non
86_3;74026;40.92;REM;Jean-Michel CLÉMENT;20544;27.75;67.83;elu
86_3;74026;40.92;FN;Delphine JUMEAU;9744;13.16;32.17;non
88_3;65649;41.51;DVD;Christophe NAEGELEN;16547;25.21;60.71;elu
88_3;65649;41.51;REM;Claude THIRARD;10707;16.31;39.29;non
88_4;66558;41.69;LR;Jean-Jacques GAULTIER;14836;22.29;53.47;elu
88_4;66558;41.69;SOC;Christian FRANQUEVILLE;12909;19.4;46.53;non
89_1;76913;45.09;LR;Guillaume LARRIVÉ;18241;23.72;52.59;elu
89_1;76913;45.09;REM;Paulo DA SILVA MOREIRA;16442;21.38;47.41;non
89_2;75693;38.86;UDI;André VILLIERS;15911;21.02;54.09;elu
89_2;75693;38.86;REM;Jean-Yves CAULLET;13505;17.84;45.91;non
87_3;83058;40.98;REM;Marie-Ange MAGNE;21369;25.73;62.78;elu
87_3;83058;40.98;LR;Guillaume GUERIN;12668;15.25;37.22;non
89_3;89137;40.47;REM;Michèle CROUZET;20057;22.5;55.59;elu
89_3;89137;40.47;FN;Julien ODOUL;16020;17.97;44.41;non
90_2;47495;38.38;UDI;Michel ZUMKELLER;9814;20.66;53.84;elu
90_2;47495;38.38;REM;Bruno KERN;8415;17.72;46.16;non
91_1;71200;32.83;DVG;Manuel VALLS;11757;16.51;50.3;elu
91_1;71200;32.83;FI;Farida AMRANI;11618;16.32;49.7;non
91_2;90740;40.01;LR;Franck MARLIN;21572;23.77;59.42;elu
91_2;90740;40.01;MDM;Daphné RACT-MADOUX;14731;16.23;40.58;non
91_3;95817;39.42;REM;Laëtitia ROMEIRO DIAS;21684;22.63;57.41;elu
91_3;95817;39.42;FI;Virginie ARAUJO;16089;16.79;42.59;non
91_4;96489;38.99;REM;Marie-Pierre RIXAIN;21725;22.52;57.75;elu
91_4;96489;38.99;LR;Agnès EVREN;15895;16.47;42.25;non
91_5;68395;45.19;REM;Cédric VILLANI;21436;31.34;69.36;elu
91_5;68395;45.19;LR;Laure DARCOS;9469;13.84;30.64;non
91_6;81934;36.08;REM;Amélie DE MONTCHALIN;18132;22.13;61.34;elu
91_6;81934;36.08;UDI;Françoise COUASSE;11429;13.95;38.66;non
90_1;47840;38.76;LR;Ian BOUCARD;9410;19.67;50.75;elu
90_1;47840;38.76;MDM;Christophe GRUDLER;9131;19.09;49.25;non
91_7;73663;35.14;LR;Robin REDA;13731;18.64;53.04;elu
91_7;73663;35.14;REM;Muriel KERNREUTER;12156;16.5;46.96;non
91_8;76458;43.58;DLF;Nicolas DUPONT-AIGNAN;17344;22.68;52.05;elu
91_8;76458;43.58;REM;Antoine PAVAMANI;15980;20.9;47.95;non
91_9;79287;33.76;REM;Marie GUÉVENOUX;15513;19.57;57.96;elu
91_9;79287;33.76;LR;Véronique CARANTOIS;11254;14.19;42.04;non
92_1;62486;31.77;COM;Elsa FAUCILLON;10955;17.53;55.18;elu
92_1;62486;31.77;REM;Isia KHALFI;8897;14.24;44.82;non
92_2;68008;43.6;REM;Adrien TAQUET;18810;27.66;63.43;elu
92_2;68008;43.6;LR;Marie-Do AESCHLIMANN;10844;15.95;36.57;non
92_3;81072;44.08;REM;Christine HENNION;20962;25.86;58.66;elu
92_3;81072;44.08;LR;Jean SPIRI;14772;18.22;41.34;non
92_4;76175;34.38;REM;Isabelle FLORENNES;17616;23.13;67.27;elu
92_4;76175;34.38;LR;Camille BEDIN;8571;11.25;32.73;non
92_5;70370;40.32;REM;Céline CALVEZ;17736;25.2;62.51;elu
92_5;70370;40.32;LR;Arnaud DE COURSON;10637;15.12;37.49;non
92_6;74305;46.3;LR;Constance LE GRIP;18512;24.91;53.81;elu
92_6;74305;46.3;REM;Laurent ZAMECZKOWSKI;15890;21.38;46.19;non
92_7;86690;46.88;REM;Jacques MARILOSSIAN;23492;27.1;57.81;elu
92_7;86690;46.88;LR;Eric BERDOATI;17144;19.78;42.19;non
92_8;68751;45.59;REM;Jacques MAIRE;19126;27.82;61.03;elu
92_8;68751;45.59;LR;Gilles BOYER;12215;17.77;38.97;non
92_9;64985;40.28;LR;Thierry SOLÈRE;14800;22.77;56.53;elu
92_9;64985;40.28;DVD;Marie-Laure GODIN;11379;17.51;43.47;non
92_10;78974;43.25;REM;Gabriel ATTAL;20818;26.36;60.94;elu
92_10;78974;43.25;UDI;Jeremy COSTE;13342;16.89;39.06;non
91_10;60911;34.23;REM;Pierre-Alain RAPHAN;11138;18.29;53.42;elu
91_10;60911;34.23;FI;Charlotte GIRARD;9713;15.95;46.58;non
92_11;69273;44.93;REM;Laurianne ROSSI;16287;23.51;52.33;elu
92_11;69273;44.93;FI;Yasmine BOUDJENAH;14834;21.41;47.67;non
92_12;92856;44.07;MDM;Jean-Louis BOURLANGES;23705;25.53;57.92;elu
92_12;92856;44.07;LR;Philippe PEMEZEC;17221;18.55;42.08;non
92_13;89108;45.76;REM;Frédérique DUMAS;25017;28.07;61.36;elu
92_13;89108;45.76;LR;Georges SIFFREDI;15757;17.68;38.64;non
93_1;61804;30.0;FI;Éric COQUEREL;9590;15.52;51.72;elu
93_1;61804;30.0;REM;Sébastien MÉNARD;8951;14.48;48.28;non
93_2;54143;27.12;FI;Stéphane PEU;8501;15.7;57.89;elu
93_2;54143;27.12;REM;Véronique AVRIL;6183;11.42;42.11;non
93_3;72572;35.23;REM;Patrice ANATO;14594;20.11;57.09;elu
93_3;72572;35.23;FI;Dominique DELAUNAY;10971;15.12;42.91;non
93_4;60977;27.3;COM;Marie-George BUFFET;9926;16.28;59.63;elu
93_4;60977;27.3;REM;Prisca THEVENOT;6720;11.02;40.37;non
93_5;63848;30.2;UDI;Jean-Christophe LAGARDE;12745;19.96;66.1;elu
93_5;63848;30.2;REM;Malika MAALEM-CHIBANE;6537;10.24;33.9;non
93_6;52593;31.79;FI;Bastien LACHAUD;9196;17.49;55.01;elu
93_6;52593;31.79;REM;Alexandre AÏDARA;7522;14.3;44.99;non
93_7;76062;36.89;FI;Alexis CORBIÈRE;16246;21.36;57.9;elu
93_7;76062;36.89;REM;Halima MENHOUDJ;11812;15.53;42.1;non
93_8;60133;34.27;REM;Sylvie CHARRIÈRE;11632;19.34;56.45;elu
93_8;60133;34.27;LR;Patrice CALMÉJANE;8973;14.92;43.55;non
93_9;70180;34.17;FI;Sabine RUBIN;12533;17.86;52.26;elu
93_9;70180;34.17;REM;Jeanne DROMARD;11447;16.31;47.74;non
93_10;68698;28.8;LR;Alain RAMADIER;10470;15.24;52.92;elu
93_10;68698;28.8;REM;Billel OUADAH;9313;13.56;47.08;non
93_11;62665;29.39;FI;Clémentine AUTAIN;10962;17.49;59.52;elu
93_11;62665;29.39;REM;Elsa WANLIN;7456;11.9;40.48;non
94_3;72165;33.41;REM;Laurent SAINT-MARTIN;12452;17.25;51.64;elu
94_3;72165;33.41;LR;Didier GONZALES;11660;16.16;48.36;non
93_12;64794;29.69;REM;Stéphane TESTE;10196;15.74;53.01;elu
93_12;64794;29.69;UDI;Ludovic TORO;9039;13.95;46.99;non
94_1;84680;38.52;REM;Frédéric DESCROZAILLE;17114;20.21;52.47;elu
94_1;84680;38.52;LR;André KASPI;15505;18.31;47.53;non
94_4;72739;37.55;MDM;Maud PETIT;14625;20.11;53.55;elu
94_4;72739;37.55;LR;Marie-Carole CIUNTU;12687;17.44;46.45;non
94_5;89457;37.96;LR;Gilles CARREZ;17145;19.17;50.49;elu
94_5;89457;37.96;REM;Nadine RET;16815;18.8;49.51;non
94_7;65556;35.14;REM;Jean-Jacques BRIDEY;12141;18.52;52.7;elu
94_7;65556;35.14;LR;Vincent JEANBRUN;10895;16.62;47.3;non
94_8;76749;46.52;LR;Michel HERBILLON;20706;26.98;57.99;elu
94_8;76749;46.52;REM;Jennifer DOUIEB-NAHON;15001;19.55;42.01;non
94_9;53666;34.99;SOC;Luc CARVOUNAS;11029;20.55;58.74;elu
94_9;53666;34.99;REM;Gaëlle MARSEAU;7747;14.44;41.26;non
94_10;64439;37.28;FI;Mathilde PANOT;12547;19.47;52.22;elu
94_10;64439;37.28;REM;Sheerazed BOULKROUN;11479;17.81;47.78;non
94_2;63379;33.56;REM;Jean François MBAYE;11184;17.65;52.58;elu
94_2;63379;33.56;FI;François COCQ;10087;15.92;47.42;non
94_11;62446;37.37;REM;Albane GAILLOT;12511;20.03;53.61;elu
94_11;62446;37.37;FI;Djamel ARROUCHE;10824;17.33;46.39;non
95_1;81549;34.82;REM;Isabelle MULLER-QUOY;15400;18.88;54.23;elu
95_1;81549;34.82;LR;Antoine SAVIGNAT;12996;15.94;45.77;non
94_6;81289;39.31;REM;Guillaume GOUFFIER-CHA;18923;23.28;59.22;elu
94_6;81289;39.31;UDI;Gildas LECOQ;13030;16.03;40.78;non
95_4;76061;35.61;REM;Naïma MOUTCHOU;16081;21.14;59.37;elu
95_4;76061;35.61;LR;Claude BODIN;11007;14.47;40.63;non
95_3;91577;34.57;REM;Cecile RILHAC;18464;20.16;58.33;elu
95_3;91577;34.57;LR;Nicole LANASPRE;13193;14.41;41.67;non
95_7;69585;34.14;REM;Dominique DA SILVA;12801;18.4;53.88;elu
95_7;69585;34.14;LR;Jérôme CHARTIER;10958;15.75;46.12;non
95_5;68484;30.62;REM;Fiona LAZAAR;12523;18.29;59.72;elu
95_5;68484;30.62;SOC;Philippe DOUCET;8447;12.33;40.28;non
95_9;69985;27.08;REM;Zivka PARK;9791;13.99;51.67;elu
95_9;69985;27.08;LR;Anthony ARCIERO;9158;13.09;48.33;non
95_6;76438;34.76;MDM;Nathalie ELIMAS;15177;19.86;57.11;elu
95_6;76438;34.76;LR;Luc STREHAIANO;11396;14.91;42.89;non
95_10;66540;33.81;REM;Aurelien TACHE;13275;19.95;59.01;elu
95_10;66540;33.81;FI;Katia NOIN LEDANOIS;9221;13.86;40.99;non
95_2;76522;37.28;REM;Guillaume VUILLETET;14539;19.0;50.96;elu
95_2;76522;37.28;LR;Axel PONIATOWSKI;13992;18.28;49.04;non
95_8;54554;28.56;SOC;François PUPPONI;10252;18.79;65.8;elu
95_8;54554;28.56;DIV;Samy DEBAH;5328;9.77;34.2;non
971_1;76233;31.12;REM;Olivier SERVA;14648;19.21;61.74;elu
971_1;76233;31.12;DVG;Rosan RAUZDUEL;9078;11.91;38.26;non
971_2;86978;25.73;DVG;Justine BENIN;14379;16.53;64.26;elu
971_2;86978;25.73;REM;Diana PERRAN;7998;9.2;35.74;non
971_3;83684;23.19;DVG;Max MATHIASIN;12645;15.11;65.15;elu
971_3;83684;23.19;DVG;Nestor LUCE;6764;8.08;34.85;non
972_1;79425;27.49;DVG;Josette MANIN;11986;15.09;54.89;elu
972_1;79425;27.49;DIV;Philippe EDMOND-MARIETTE;9851;12.4;45.11;non
972_2;81667;30.97;DVG;Bruno Nestor AZEROT;14110;17.28;55.78;elu
972_2;81667;30.97;DVG;Justin PAMPHILE;11185;13.7;44.22;non
972_3;65399;31.25;DVG;Serge LETCHIMY;15114;23.11;73.94;elu
972_3;65399;31.25;REG;Françis CAROLE;5326;8.14;26.06;non
972_4;83734;25.97;REG;Jean-Philippe NILOR;14794;17.67;68.02;elu
972_4;83734;25.97;LR;Sylvia SAITHSOOTHANE;6954;8.3;31.98;non
973_1;53662;27.4;DVG;Gabriel SERVILLE;7546;14.06;51.33;elu
973_1;53662;27.4;REM;Joëlle PREVOT-MADERE;7156;13.34;48.67;non
973_2;39422;33.69;REM;Lénaïck ADAM;6670;16.92;50.21;elu
973_2;39422;33.69;REG;Davy RIMANE;6613;16.77;49.79;non
974_1;80506;35.74;SOC;Ericka BAREIGTS;18950;23.54;65.86;elu
974_1;80506;35.74;LR;Jean-Jacques MOREL;9824;12.2;34.14;non
974_2;92710;36.0;DVG;Huguette BELLO;24559;26.49;73.59;elu
974_2;92710;36.0;LR;Cyrille MELCHIOR;8815;9.51;26.41;non
971_4;69233;31.42;SOC;Hélène VAINQUEUR-CHRISTOPHE;13403;19.36;61.61;elu
971_4;69233;31.42;DVD;Aramis ARBAU;8350;12.06;38.39;non
974_3;92752;37.54;LR;Nathalie BASSIRE;19652;21.19;56.44;elu
974_3;92752;37.54;DVD;Jacquet HOARAU;15167;16.35;43.56;non
974_4;104970;41.23;LR;David LORION;23540;22.43;54.39;elu
974_4;104970;41.23;DVG;Virginie GOBALOU;19738;18.8;45.61;non
974_5;83173;31.96;DVG;Jean Hugues RATENON;14056;16.9;52.88;elu
974_5;83173;31.96;LR;Daniel GONTHIER;12527;15.06;47.12;non
974_7;110366;33.25;MDM;Thierry ROBERT;22305;20.21;60.78;elu
974_7;110366;33.25;DVD;Fabrice MAROUVIN VIRAMALE;14390;13.04;39.22;non
974_6;75862;31.1;LR;Nadia RAMASSAMY;12415;16.37;52.61;elu
974_6;75862;31.1;REM;Monique ORPHE;11181;14.74;47.39;non
987_1;72585;44.19;UDI;Maina SAGE;21928;30.21;68.36;elu
987_1;72585;44.19;DVD;Moana GREIG;10147;13.98;31.64;non
988_1;85146;35.23;DVD;Philippe DUNOYER;17744;20.84;59.15;elu
988_1;85146;35.23;DVD;Sonia BACKES;12256;14.39;40.85;non
975_1;4974;73.1;RDG;Annick GIRARDIN;1886;37.92;51.87;elu
975_1;4974;73.1;DIV;Stéphane LENORMAND;1750;35.18;48.13;non
986_1;8480;80.65;DVG;Napole POLUTELE;3436;40.52;50.24;elu
986_1;8480;80.65;DVG;Sylvain BRIAL;3159;37.25;46.19;non
986_1;8480;80.65;LR;Hervé Michel DELORD;244;2.88;3.57;non
988_2;104634;49.67;UDI;Philippe GOMES;28557;27.29;54.95;elu
988_2;104634;49.67;REG;Louis MAPOU;23413;22.38;45.05;non
987_3;64425;49.08;REG;Moetai, Charles BROTHERSON;16603;25.77;52.5;elu
987_3;64425;49.08;DVD;Patrick HOWELL;15020;23.31;47.5;non
987_2;66706;42.7;DVD;Nicole SANQUER;18282;27.41;64.18;elu
987_2;66706;42.7;DVD;Teura IRITI;10204;15.3;35.82;non
99_1;200179;12.31;REM;Roland LESCURE;19650;9.82;79.73;elu
99_1;200179;12.31;LR;Frédéric LEFEBVRE;4995;2.5;20.27;non
99_2;75022;12.02;REM;Paula FORTEZA;5494;7.32;60.92;elu
99_2;75022;12.02;ECO;Sergio CORONADO;3525;4.7;39.08;non
99_4;122756;20.04;REM;Pieyre-Alexandre ANGLADE;18138;14.78;73.73;elu
99_4;122756;20.04;FI;Sophie RAUSZER;6464;5.27;26.27;non
99_3;120692;17.08;REM;Alexandre HOLROYD;14453;11.98;70.11;elu
99_3;120692;17.08;SOC;Axelle LEMAIRE;6163;5.11;29.89;non
99_5;91291;12.95;REM;Samantha CAZEBONNE;7828;8.57;66.21;elu
99_5;91291;12.95;FI;François RALLE-ANDREOLI;3995;4.38;33.79;non
99_9;107778;10.33;DIV;M'Jid EL GUERRAB;6642;6.16;59.66;elu
99_9;107778;10.33;DVD;Leila AÏCHI;4491;4.17;40.34;non
99_10;99956;17.41;REM;Amal Amélia LAKRAFI;12397;12.4;71.25;elu
99_10;99956;17.41;LR;Alain MARSAUD;5002;5.0;28.75;non
99_8;121386;11.39;UDI;Meyer HABIB;7998;6.59;57.86;elu
99_8;121386;11.39;REM;Florence DRORY;5825;4.8;42.14;non
99_6;127470;18.28;REM;Joachim SON-FORGET;17460;13.7;74.94;elu
99_6;127470;18.28;LR;Claudine SCHMID;5838;4.58;25.06;non
99_7;105946;21.17;MDM;Frédéric PETIT;14115;13.32;62.94;elu
99_7;105946;21.17;SOC;Pierre-Yves LE BORGN';8310;7.84;37.06;non
99_11;92761;21.64;REM;Anne GENETET;14397;15.52;71.72;elu
99_11;92761;21.64;LR;Thierry MARIANI;5676;6.12;28.28;non
