circo;Inscrits;Abstentions;%_Abs/Ins;Votants;%_Vot/Ins;Blancs;%_Blancs/Ins;%_Blancs/Vot;Nuls;%_Nuls/Ins;%_Nuls/Vot;Exprimés;%_Exp/Ins;%_Exp/Vot;macron;le_pen;fillon;melenchon;hamon;dupont-aignan;lassalle;poutou;asselineau;arthaud;cheminade
1_1;82652;15998;19.36;66654;80.64;1358;1.64;2.04;406;0.49;0.61;64890;78.51;97.35;14403;16500;13460;10221;3712;4106;732;614;622;401;119
1_2;93332;16742;17.94;76590;82.06;1397;1.5;1.82;437;0.47;0.57;74756;80.1;97.61;17395;19319;15714;11711;3625;4507;598;588;788;382;129
1_3;75427;16689;22.13;58738;77.87;964;1.28;1.64;328;0.43;0.56;57446;76.16;97.8;14550;10700;13888;9695;3238;2979;614;592;812;272;106
1_4;89262;16003;17.93;73259;82.07;1469;1.65;2.01;587;0.66;0.8;71203;79.77;97.19;15692;19428;15749;9739;3321;4818;699;637;570;414;136
1_5;75213;16075;21.37;59138;78.63;1154;1.53;1.95;480;0.64;0.81;57504;76.45;97.24;11652;15508;10994;10370;2815;3378;822;667;820;373;105
2_1;72292;14556;20.14;57736;79.86;943;1.3;1.63;444;0.61;0.77;56349;77.95;97.6;10470;20175;8761;9282;2583;2859;466;627;421;608;97
2_2;73948;16219;21.93;57729;78.07;1024;1.38;1.77;425;0.57;0.74;56280;76.11;97.49;10920;18356;9824;10080;2398;2773;399;614;343;481;92
2_3;68126;14338;21.05;53788;78.95;1004;1.47;1.87;503;0.74;0.94;52281;76.74;97.2;7977;20901;8651;7987;2108;2625;443;593;354;543;99
2_4;79155;18629;23.53;60526;76.47;980;1.24;1.62;477;0.6;0.79;59069;74.62;97.59;10746;20974;8990;10755;2508;2891;431;630;503;532;109
2_5;82231;16441;19.99;65790;80.01;1096;1.33;1.67;533;0.65;0.81;64161;78.03;97.52;11567;22364;10743;10846;2633;3503;525;692;550;599;139
3_1;89715;18171;20.25;71544;79.75;1496;1.67;2.09;1074;1.2;1.5;68974;76.88;96.41;16276;15318;12923;14043;3949;3525;904;835;473;594;134
3_2;84644;19560;23.11;65084;76.89;1481;1.75;2.28;707;0.84;1.09;62896;74.31;96.64;14692;13669;10891;14077;3588;3037;998;795;491;544;114
3_3;79149;16544;20.9;62605;79.1;1358;1.72;2.17;657;0.83;1.05;60590;76.55;96.78;14683;14017;12643;10191;3082;3233;1084;692;458;402;105
4_1;61220;11285;18.43;49935;81.57;907;1.48;1.82;383;0.63;0.77;48645;79.46;97.42;9565;12815;8346;10737;2438;2388;899;615;457;279;106
4_2;65358;13038;19.95;52320;80.05;901;1.38;1.72;350;0.54;0.67;51069;78.14;97.61;10395;11648;10096;11711;2545;2473;822;563;475;242;99
5_1;57744;10991;19.03;46753;80.97;791;1.37;1.69;348;0.6;0.74;45614;78.99;97.56;10204;10302;8255;9528;2710;2550;767;533;465;234;66
5_2;52163;9830;18.84;42333;81.16;750;1.44;1.77;270;0.52;0.64;41313;79.2;97.59;8744;8172;8390;9268;2399;2388;842;516;318;177;99
6_1;80459;19445;24.17;61014;75.83;793;0.99;1.3;379;0.47;0.62;59842;74.38;98.08;12581;14144;16070;10658;2701;1952;491;347;636;188;74
6_2;85688;17045;19.89;68643;80.11;1171;1.37;1.71;357;0.42;0.52;67115;78.32;97.77;12398;19996;15531;10998;2549;3238;795;511;693;251;155
6_3;89098;20671;23.2;68427;76.8;948;1.06;1.39;376;0.42;0.55;67103;75.31;98.07;13254;18031;16533;11895;2772;2588;572;412;731;218;97
6_4;85748;18421;21.48;67327;78.52;1016;1.18;1.51;381;0.44;0.57;65930;76.89;97.93;10584;21772;16561;9820;1997;2939;730;475;711;237;104
6_5;87923;18446;20.98;69477;79.02;971;1.1;1.4;416;0.47;0.6;68090;77.44;98;12499;20800;16905;10591;2353;2908;699;381;688;184;82
6_6;78084;15109;19.35;62975;80.65;1121;1.44;1.78;163;0.21;0.26;61691;79.01;97.96;11529;18287;17858;7510;1862;2988;479;324;616;138;100
6_7;92847;17757;19.13;75090;80.87;1168;1.26;1.56;268;0.29;0.36;73654;79.33;98.09;16064;16532;22855;9857;2913;3282;617;445;775;183;131
6_8;82014;18507;22.57;63507;77.43;923;1.13;1.45;257;0.31;0.4;62327;76;98.14;11025;16682;20641;8183;1774;2400;403;338;614;161;106
6_9;79900;16502;20.65;63398;79.35;978;1.22;1.54;240;0.3;0.38;62180;77.82;98.08;12019;16897;18082;8429;2146;2880;476;389;603;169;90
7_1;77905;15079;19.36;62826;80.64;1239;1.59;1.97;513;0.66;0.82;61074;78.4;97.21;12951;15434;9196;13663;3803;2876;1134;795;705;405;112
7_2;93041;16515;17.75;76526;82.25;1504;1.62;1.97;2172;2.33;2.84;72850;78.3;95.2;16807;16746;13815;13388;4259;4507;1136;894;664;507;127
7_3;78312;15024;19.18;63288;80.82;1153;1.47;1.82;503;0.64;0.79;61632;78.7;97.38;12562;13125;10824;15571;3695;2543;1276;913;600;391;132
8_1;73335;15563;21.22;57772;78.78;904;1.23;1.56;390;0.53;0.68;56478;77.01;97.76;10616;18228;10532;9044;2647;3235;520;606;447;495;108
8_2;63879;16049;25.12;47830;74.88;847;1.33;1.77;296;0.46;0.62;46687;73.09;97.61;8439;15078;6586;9969;2599;2191;400;565;344;421;95
8_3;57165;12464;21.8;44701;78.2;802;1.4;1.79;261;0.46;0.58;43638;76.34;97.62;7857;14272;8155;7159;1988;2384;486;522;289;462;64
9_1;56738;10536;18.57;46202;81.43;806;1.42;1.74;518;0.91;1.12;44878;79.1;97.13;9770;9112;5245;12546;3784;1515;1568;618;380;277;63
9_2;60671;10856;17.89;49815;82.11;921;1.52;1.85;466;0.77;0.94;48428;79.82;97.22;9753;11135;6647;12424;3542;1854;1736;562;419;279;77
10_1;64362;11685;18.16;52677;81.84;896;1.39;1.7;346;0.54;0.66;51435;79.92;97.64;8811;17094;12238;6153;1814;3569;386;470;399;396;105
10_2;73837;13864;18.78;59973;81.22;982;1.33;1.64;379;0.51;0.63;58612;79.38;97.73;11739;17321;13802;7867;2391;3687;406;475;436;394;94
10_3;65648;13402;20.41;52246;79.59;867;1.32;1.66;358;0.55;0.69;51021;77.72;97.66;10015;14431;11082;8476;2340;2979;367;442;482;317;90
11_1;95107;17675;18.58;77432;81.42;1365;1.44;1.76;673;0.71;0.87;75394;79.27;97.37;15336;21872;10702;16172;4965;2851;1509;913;516;441;117
11_2;88881;19251;21.66;69630;78.34;1197;1.35;1.72;565;0.64;0.81;67868;76.36;97.47;13088;20242;10779;14396;3793;2617;1149;736;590;370;108
11_3;88707;15627;17.62;73080;82.38;1305;1.47;1.79;676;0.76;0.93;71099;80.15;97.29;14591;18471;10800;15558;4856;2797;1984;858;677;384;123
12_1;76555;12221;15.96;64334;84.04;1205;1.57;1.87;556;0.73;0.86;62573;81.74;97.26;16796;9304;15100;10735;3721;3182;2137;702;432;344;120
12_2;69922;12306;17.6;57616;82.4;1194;1.71;2.07;622;0.89;1.08;55800;79.8;96.85;14835;8827;10010;12306;3658;2574;1930;726;464;381;89
12_3;71799;11851;16.51;59948;83.49;1231;1.71;2.05;627;0.87;1.05;58090;80.91;96.9;13953;10457;11554;11648;3499;2798;2394;894;408;381;104
13_1;78383;17473;22.29;60910;77.71;891;1.14;1.46;343;0.44;0.56;59676;76.13;97.97;11297;17682;12708;11609;2377;2344;486;390;516;186;81
13_2;78743;15686;19.92;63057;80.08;706;0.9;1.12;196;0.25;0.31;62155;78.93;98.57;14701;10973;20146;9930;2990;1860;488;337;499;144;87
13_3;73470;19484;26.52;53986;73.48;734;1;1.36;312;0.42;0.58;52940;72.06;98.06;9655;16415;8450;12898;2208;1725;390;341;607;172;79
13_4;59654;18050;30.26;41604;69.74;548;0.92;1.32;205;0.34;0.49;40851;68.48;98.19;8908;5867;4428;15969;3544;672;270;410;510;194;79
13_5;69043;15851;22.96;53192;77.04;684;0.99;1.29;282;0.41;0.53;52226;75.64;98.18;11530;10235;10556;13093;3637;1561;455;414;465;195;85
13_6;75634;17970;23.76;57664;76.24;790;1.04;1.37;291;0.38;0.5;56583;74.81;98.13;11664;14597;13027;11256;2525;2027;415;361;443;190;78
13_7;65369;22877;35;42492;65;604;0.92;1.42;236;0.36;0.56;41652;63.72;98.02;7068;10864;3201;16092;2136;837;230;344;539;248;93
13_8;99985;19857;19.86;80128;80.14;1349;1.35;1.68;511;0.51;0.64;78268;78.28;97.68;14961;23403;15434;14574;3188;3942;868;640;779;340;139
13_9;96939;19455;20.07;77484;79.93;1266;1.31;1.63;446;0.46;0.58;75772;78.16;97.79;13565;21236;16757;15822;2852;3136;772;568;662;275;127
13_10;106026;18750;17.68;87276;82.32;1432;1.35;1.64;466;0.44;0.53;85378;80.53;97.83;16373;26436;16495;16397;3349;3768;876;592;654;304;134
13_11;90215;18929;20.98;71286;79.02;1051;1.16;1.47;321;0.36;0.45;69914;77.5;98.08;15900;16081;17033;13139;3087;2718;626;467;546;206;111
13_12;92147;19386;21.04;72761;78.96;1402;1.52;1.93;308;0.33;0.42;71051;77.11;97.65;11439;26497;11787;13587;2404;3141;682;527;598;280;109
13_13;93715;19841;21.17;73874;78.83;1280;1.37;1.73;582;0.62;0.79;72012;76.84;97.48;10618;23130;8443;21520;2709;2873;742;699;712;451;115
13_14;97727;18958;19.4;78769;80.6;1166;1.19;1.48;411;0.42;0.52;77192;78.99;98;19111;14655;18920;15129;4194;2874;698;551;696;227;137
13_15;104767;18589;17.74;86178;82.26;1463;1.4;1.7;575;0.55;0.67;84140;80.31;97.64;15092;25597;18809;14304;3205;4140;1136;681;641;375;160
13_16;90577;18990;20.97;71587;79.03;1212;1.34;1.69;487;0.54;0.68;69888;77.16;97.63;11430;22729;11272;15875;3159;2829;906;684;551;327;126
14_1;70096;12076;17.23;58020;82.77;840;1.2;1.45;311;0.44;0.54;56869;81.13;98.02;16648;7161;11483;12282;5342;2178;317;668;362;346;82
14_2;67569;13218;19.56;54351;80.44;821;1.22;1.51;409;0.61;0.75;53121;78.62;97.74;14119;9189;7604;13307;4765;2138;341;758;373;436;91
14_3;78941;15295;19.38;63646;80.62;1060;1.34;1.67;471;0.6;0.74;62115;78.69;97.59;12706;16535;12254;11097;3432;3494;519;897;479;600;102
14_4;101077;18818;18.62;82259;81.38;1095;1.08;1.33;520;0.51;0.63;80644;79.78;98.04;18909;16753;20937;13157;4203;3897;607;925;573;547;136
14_5;89928;15475;17.21;74453;82.79;1148;1.28;1.54;522;0.58;0.7;72783;80.93;97.76;18731;15021;16024;12024;4695;3840;546;848;464;467;123
14_6;93542;15431;16.5;78111;83.5;1328;1.42;1.7;693;0.74;0.89;76090;81.34;97.41;18607;17111;14038;13753;4856;4532;581;1173;579;703;157
15_1;63016;11814;18.75;51202;81.25;1152;1.83;2.25;586;0.93;1.14;49464;78.49;96.61;14285;8538;10664;8301;2874;2131;1318;600;311;350;92
15_2;54409;10953;20.13;43456;79.87;961;1.77;2.21;393;0.72;0.9;42102;77.38;96.88;10192;8103;10925;6265;1936;1916;1522;579;216;342;106
16_1;84955;19885;23.41;65070;76.59;1077;1.27;1.66;568;0.67;0.87;63425;74.66;97.47;17427;11384;10215;14148;4898;2643;828;757;569;425;131
16_2;84019;17387;20.69;66632;79.31;1181;1.41;1.77;668;0.8;1;64783;77.11;97.23;15514;14850;12442;11820;3603;3512;1029;858;473;526;156
16_3;90980;17708;19.46;73272;80.54;1478;1.62;2.02;989;1.09;1.35;70805;77.82;96.63;16948;16364;11087;14787;4068;3853;1228;1109;498;700;163
17_1;103263;22091;21.39;81172;78.61;1189;1.15;1.46;397;0.38;0.49;79586;77.07;98.05;23118;10383;17634;16783;5954;2947;843;788;624;378;134
17_2;104381;20621;19.76;83760;80.24;1571;1.51;1.88;597;0.57;0.71;81592;78.17;97.41;20358;16380;14521;17221;5052;4435;1144;1166;617;561;137
17_3;82245;17117;20.81;65128;79.19;1203;1.46;1.85;852;1.04;1.31;63073;76.69;96.84;14350;14157;11597;12631;3795;3573;882;881;541;534;132
17_4;89933;17880;19.88;72053;80.12;1299;1.44;1.8;615;0.68;0.85;70139;77.99;97.34;14995;18011;14787;11514;3243;4198;1189;964;567;538;133
17_5;111547;21642;19.4;89905;80.6;1586;1.42;1.76;644;0.58;0.72;87675;78.6;97.52;18534;21833;20120;14342;3979;5180;1218;1077;671;565;156
18_1;72589;16066;22.13;56523;77.87;1270;1.75;2.25;366;0.5;0.65;54887;75.61;97.11;12660;11979;12130;9846;3013;2934;594;676;475;467;113
18_2;70174;16518;23.54;53656;76.46;1192;1.7;2.22;431;0.61;0.8;52033;74.15;96.98;11445;12701;8570;11765;2695;2637;510;637;446;540;87
18_3;86220;18326;21.25;67894;78.75;1548;1.8;2.28;580;0.67;0.85;65766;76.28;96.87;13971;17073;12267;12083;3449;3983;821;793;558;623;145
19_1;92693;16268;17.55;76425;82.45;1794;1.94;2.35;1018;1.1;1.33;73613;79.42;96.32;19440;12448;11967;16491;4793;3532;2386;1299;520;553;184
19_2;92584;18031;19.48;74553;80.52;1635;1.77;2.19;918;0.99;1.23;72000;77.77;96.58;19778;12805;13460;13866;4470;3517;1867;1020;574;498;145
2A_1;50859;15715;30.9;35144;69.1;573;1.13;1.63;398;0.78;1.13;34173;67.19;97.24;6601;9724;8114;4716;1339;998;2006;309;226;89;51
2A_2;57922;18043;31.15;39879;68.85;635;1.1;1.59;549;0.95;1.38;38695;66.81;97.03;6421;11134;10600;5369;1207;1220;1942;348;259;129;66
2B_1;58797;18449;31.38;40348;68.62;746;1.27;1.85;387;0.66;0.96;39215;66.7;97.19;7111;11172;9845;5734;1577;1083;1916;336;235;132;74
2B_2;66078;22458;33.99;43620;66.01;920;1.39;2.11;407;0.62;0.93;42293;64;96.96;8395;11011;10894;5495;1657;1161;2847;381;245;145;62
21_1;68424;12339;18.03;56085;81.97;814;1.19;1.45;234;0.34;0.42;55037;80.44;98.13;15517;7687;14018;9992;3871;2286;403;422;499;258;84
21_2;68731;13358;19.44;55373;80.56;1005;1.46;1.81;311;0.45;0.56;54057;78.65;97.62;13249;11841;10810;10165;3428;2754;440;529;450;297;94
21_3;70372;13978;19.86;56394;80.14;1004;1.43;1.78;364;0.52;0.65;55026;78.19;97.57;13312;12789;9150;11346;3650;2934;413;496;505;329;102
21_4;68751;12892;18.75;55859;81.25;1063;1.55;1.9;394;0.57;0.71;54402;79.13;97.39;11011;14390;11400;9278;2731;3199;654;695;457;481;106
21_5;84380;16113;19.1;68267;80.9;1232;1.46;1.8;433;0.51;0.63;66602;78.93;97.56;14347;17493;15247;10078;3130;3807;725;676;546;430;123
22_1;89797;15385;17.13;74412;82.87;1274;1.42;1.71;493;0.55;0.66;72645;80.9;97.63;22472;10397;12132;15489;6771;2768;536;981;476;499;124
22_2;96816;14073;14.54;82743;85.46;1361;1.41;1.64;613;0.63;0.74;80769;83.43;97.61;21777;13994;17420;14729;6179;3603;720;1028;551;629;139
22_3;86758;12449;14.35;74309;85.65;1327;1.53;1.79;680;0.78;0.92;72302;83.34;97.3;20080;13764;13897;12844;5113;3694;656;1041;472;621;120
22_4;78646;12523;15.92;66123;84.08;1149;1.46;1.74;592;0.75;0.9;64382;81.86;97.37;16855;11226;9113;15373;5957;2633;764;1270;400;677;114
22_5;103941;17187;16.54;86754;83.46;1325;1.27;1.53;558;0.54;0.64;84871;81.65;97.83;23785;12322;16354;17578;8240;3260;878;1148;580;602;124
23_1;93113;19917;21.39;73196;78.61;1950;2.09;2.66;995;1.07;1.36;70251;75.45;95.98;15807;13966;12637;14827;5494;3521;1352;1209;580;684;174
24_1;76207;14972;19.65;61235;80.35;1156;1.52;1.89;628;0.82;1.03;59451;78.01;97.09;13597;11980;9410;14868;3997;2593;1204;830;503;364;105
24_2;82465;16159;19.59;66306;80.41;1128;1.37;1.7;625;0.76;0.94;64553;78.28;97.36;14184;15374;11345;13364;3610;3003;1730;880;547;385;131
24_3;67497;11357;16.83;56140;83.17;1334;1.98;2.38;716;1.06;1.28;54090;80.14;96.35;11625;11660;9653;12127;3293;2623;1315;847;401;430;116
24_4;87851;15032;17.11;72819;82.89;1429;1.63;1.96;774;0.88;1.06;70616;80.38;96.97;16539;13030;12102;16773;4883;3205;1801;1021;677;447;138
25_1;75233;15946;21.2;59287;78.8;1046;1.39;1.76;374;0.5;0.63;57867;76.92;97.6;14415;11514;10767;12293;4182;2618;427;629;560;370;92
25_2;78335;15331;19.57;63004;80.43;1180;1.51;1.87;387;0.49;0.61;61437;78.43;97.51;15473;11213;12953;12551;4255;2679;503;696;592;379;143
25_3;65897;14282;21.67;51615;78.33;1186;1.8;2.3;424;0.64;0.82;50005;75.88;96.88;10096;14136;10344;8123;2439;2665;467;684;561;413;77
25_4;66908;15691;23.45;51217;76.55;1045;1.56;2.04;461;0.69;0.9;49711;74.3;97.06;9669;15651;7912;8881;2745;2557;429;624;650;508;85
25_5;82028;14949;18.22;67079;81.78;1350;1.65;2.01;570;0.69;0.85;65159;79.44;97.14;14301;14121;17953;8955;2697;4214;706;932;766;381;133
26_1;75247;16464;21.88;58783;78.12;1034;1.37;1.76;465;0.62;0.79;57284;76.13;97.45;13978;11222;11526;11716;3942;2692;553;605;635;331;84
26_2;93273;19861;21.29;73412;78.71;1365;1.46;1.86;546;0.59;0.74;71501;76.66;97.4;14825;20262;12826;13238;3522;3912;915;724;729;416;132
26_3;106778;18604;17.42;88174;82.58;1629;1.53;1.85;560;0.52;0.64;85985;80.53;97.52;18563;18229;15557;19594;5671;4171;1520;1104;871;541;164
26_4;94191;18281;19.41;75910;80.59;1442;1.53;1.9;497;0.53;0.65;73971;78.53;97.45;15798;19283;13494;13489;4250;4222;880;741;753;908;153
27_1;86358;17483;20.24;68875;79.76;1140;1.32;1.66;509;0.59;0.74;67226;77.85;97.61;13361;19642;13514;11098;3232;3882;536;707;605;536;113
27_2;78432;14204;18.11;64228;81.89;1162;1.48;1.81;454;0.58;0.71;62612;79.83;97.48;12856;18045;12004;10721;3202;3442;454;758;481;524;125
27_3;84440;15101;17.88;69339;82.12;1210;1.43;1.75;530;0.63;0.76;67599;80.06;97.49;12812;20409;13552;11165;3056;4039;553;823;520;550;120
27_4;89885;18013;20.04;71872;79.96;1325;1.47;1.84;518;0.58;0.72;70029;77.91;97.44;14352;19771;11315;13989;3931;4054;488;872;648;498;111
27_5;88418;17414;19.7;71004;80.3;1187;1.34;1.67;506;0.57;0.71;69311;78.39;97.62;13605;20852;13051;11871;3578;3679;571;773;673;525;133
28_1;89168;16917;18.97;72251;81.03;1343;1.51;1.86;416;0.47;0.58;70492;79.06;97.57;17714;14190;15916;11776;4184;4112;587;695;750;442;126
28_2;74281;17170;23.11;57111;76.89;1027;1.38;1.8;404;0.54;0.71;55680;74.96;97.49;11048;14728;11122;10457;3114;3098;408;565;633;400;107
28_3;70797;14275;20.16;56522;79.84;1085;1.53;1.92;413;0.58;0.73;55024;77.72;97.35;11946;14345;11909;8486;2817;3391;465;651;437;465;112
28_4;67220;12112;18.02;55108;81.98;1078;1.6;1.96;447;0.66;0.81;53583;79.71;97.23;10330;15623;12328;7316;2202;3502;482;748;433;510;109
29_1;88759;14258;16.06;74501;83.94;1072;1.21;1.44;497;0.56;0.67;72932;82.17;97.89;23862;8759;13519;13285;7850;2917;681;1026;493;437;103
29_2;78509;17472;22.25;61037;77.75;1251;1.59;2.05;37;0.05;0.06;59749;76.1;97.89;17565;7504;9703;13015;8027;2058;408;681;424;279;85
29_3;89479;15053;16.82;74426;83.18;1398;1.56;1.88;286;0.32;0.38;72742;81.3;97.74;21014;10549;13184;13609;8275;3373;750;901;529;459;99
29_4;82219;13752;16.73;68467;83.27;1056;1.28;1.54;417;0.51;0.61;66994;81.48;97.85;19452;8422;12675;13985;7320;2449;749;970;382;463;127
29_5;94400;14619;15.49;79781;84.51;1238;1.31;1.55;467;0.49;0.59;78076;82.71;97.86;23568;10734;15141;13909;8477;3491;771;991;408;463;123
29_6;89304;15180;17;74124;83;1127;1.26;1.52;499;0.56;0.67;72498;81.18;97.81;20195;10802;12645;14586;7622;3094;1039;1365;509;533;108
29_7;80529;14211;17.65;66318;82.35;1088;1.35;1.64;514;0.64;0.78;64716;80.36;97.58;19237;8979;11489;13167;6353;2600;878;1022;404;486;101
29_8;87372;16091;18.42;71281;81.58;1222;1.4;1.71;581;0.66;0.82;69478;79.52;97.47;19202;11617;11609;14051;6857;2755;916;1294;548;518;111
30_1;86922;20234;23.28;66688;76.72;1085;1.25;1.63;429;0.49;0.64;65174;74.98;97.73;12432;18755;11849;14155;3074;2569;696;535;725;288;96
30_2;89059;16075;18.05;72984;81.95;1186;1.33;1.63;535;0.6;0.73;71263;80.02;97.64;12445;23899;12836;13425;2898;3243;918;582;614;293;110
30_3;93671;17339;18.51;76332;81.49;1233;1.32;1.62;485;0.52;0.64;74614;79.66;97.75;14669;21892;14034;13836;3602;3528;1070;688;782;387;126
30_4;91115;17437;19.14;73678;80.86;1232;1.35;1.67;552;0.61;0.75;71894;78.9;97.58;12969;22123;10895;16404;3305;3110;1146;744;672;410;116
30_5;95968;18460;19.24;77508;80.76;1329;1.38;1.71;557;0.58;0.72;75622;78.8;97.57;14041;20056;10887;20072;4150;2815;1363;947;726;443;122
30_6;81204;17732;21.84;63472;78.16;967;1.19;1.52;390;0.48;0.61;62115;76.49;97.86;12450;16548;11865;13013;3444;2543;753;548;577;271;103
31_1;83659;18868;22.55;64791;77.45;827;0.99;1.28;397;0.47;0.61;63567;75.98;98.11;18400;7106;10411;17061;6148;1944;963;628;564;234;108
31_2;101370;20720;20.44;80650;79.56;1112;1.1;1.38;526;0.52;0.65;79012;77.94;97.97;21746;11212;13578;19703;6711;2960;1225;738;682;327;130
31_3;79396;15010;18.91;64386;81.09;876;1.1;1.36;247;0.31;0.38;63263;79.68;98.26;18467;6378;15871;13189;5333;1913;861;471;471;207;102
31_4;71190;19016;26.71;52174;73.29;699;0.98;1.34;244;0.34;0.47;51231;71.96;98.19;13685;4689;8590;15570;5611;1224;597;514;474;187;90
31_5;98451;15381;15.62;83070;84.38;1509;1.53;1.82;623;0.63;0.75;80938;82.21;97.43;19367;18274;12536;17652;5299;4115;1600;846;686;407;156
31_6;111612;17829;15.97;93783;84.03;1384;1.24;1.48;747;0.67;0.8;91652;82.12;97.73;26580;15952;13630;20529;7298;3932;1562;842;754;411;162
31_7;99799;16975;17.01;82824;82.99;1480;1.48;1.79;637;0.64;0.77;80707;80.87;97.44;18567;18858;11506;18256;6089;3627;1738;850;626;441;149
31_8;85552;16898;19.75;68654;80.25;1248;1.46;1.82;694;0.81;1.01;66712;77.98;97.17;14213;15719;9727;14321;5025;2706;3186;793;526;371;125
31_9;80368;18044;22.45;62324;77.55;925;1.15;1.48;406;0.51;0.65;60993;75.89;97.86;15729;9246;8620;16819;5918;2036;984;674;563;281;123
31_10;95256;12044;12.64;83212;87.36;1350;1.42;1.62;544;0.57;0.65;81318;85.37;97.72;23374;12791;14139;17346;6748;3376;1729;760;609;300;146
32_1;73499;11651;15.85;61848;84.15;1125;1.53;1.82;546;0.74;0.88;60177;81.87;97.3;14525;11204;10108;12388;5103;2606;2631;639;537;344;92
